mode,aspect,threshold,precision,recall,f1,tp,fp,fn
global,ALL,0.2,0.7782051282049287,0.9553037456717169,0.857708067895537,3035,865,142
global,ALL,0.25,0.7983571807099104,0.948378973874426,0.8669256217160701,3013,761,164
global,ALL,0.3,0.8133659331701132,0.9423984891404021,0.8731408568952718,2994,687,183
global,ALL,0.35,0.8255684969492996,0.9370475291152228,0.8777826915259193,2977,629,200
global,ALL,0.4,0.8375778155062712,0.9316965690900435,0.8821338096635719,2960,574,217
global,ALL,0.45,0.8473744950949661,0.9244570349383303,0.8842390481232902,2937,529,240
global,ALL,0.5,0.8565561748310776,0.9191060749131511,0.88672942555562,2920,489,257
global,ALL,0.55,0.8680659670162315,0.9112370160525932,0.8891277636277855,2895,440,282
global,ALL,0.6,0.8762195121948548,0.9046270066097247,0.8901966852672357,2874,406,303
global,ALL,0.7,0.8944356120823865,0.8854265029899637,0.8899082563804652,2813,332,364
