neutral_threshold,macro_f1,weighted_f1,neutral_precision,neutral_recall,neutral_f1
0.1,0.8264585661951948,0.9254880635559201,0.5015197568389058,0.7366071428571429,0.596745027124774
0.12,0.8290514487911654,0.9258887786575454,0.5158227848101266,0.7276785714285714,0.6037037037037037
0.14,0.830572575453561,0.9262107117122297,0.5261437908496732,0.71875,0.6075471698113207
0.16,0.8338693393556028,0.9267861469886132,0.5420875420875421,0.71875,0.6180422264875239
0.18,0.8322999690635179,0.926833071024013,0.5473684210526316,0.6964285714285714,0.6129666011787819
0.2,0.8345200089765307,0.9278357054301996,0.5645756457564576,0.6830357142857143,0.6181818181818182
0.22,0.8348903048755241,0.9277296125435026,0.5741444866920152,0.6741071428571429,0.6201232032854209
0.24,0.8362461610594646,0.9282675026313535,0.5836575875486382,0.6696428571428571,0.6237006237006237
0.26,0.8380966778445612,0.9286240350194412,0.5928853754940712,0.6696428571428571,0.6289308176100629
0.28,0.8398547553586654,0.9283823042353486,0.6115702479338843,0.6607142857142857,0.6351931330472103
0.3,0.8386977588950861,0.9282239486154854,0.6206896551724138,0.6428571428571429,0.631578947368421
0.32,0.8389116156607903,0.928529898875447,0.6283185840707964,0.6339285714285714,0.6311111111111111
0.34,0.8396423086106877,0.9285848648385067,0.6380090497737556,0.6294642857142857,0.6337078651685393
0.36,0.8397589675703099,0.9284111728488968,0.6451612903225806,0.625,0.6349206349206349
0.38,0.8402775138835045,0.9285183184596475,0.6525821596244131,0.6205357142857143,0.6361556064073226
0.4,0.842034268558877,0.9291071973850462,0.6666666666666666,0.6160714285714286,0.6403712296983759
0.42,0.8397192944508219,0.9281518114021254,0.6767676767676768,0.5982142857142857,0.6350710900473934
0.44,0.8403039652575885,0.9279475627846084,0.689119170984456,0.59375,0.6378896882494005
0.46,0.8401495914540571,0.9281200875491632,0.7065217391304348,0.5803571428571429,0.6372549019607843
0.48,0.8389646557095828,0.9277783159132781,0.7049180327868853,0.5758928571428571,0.6339066339066339
0.5,0.8384620875141855,0.9276831322362128,0.7071823204419889,0.5714285714285714,0.6320987654320988
0.55,0.8404855572294662,0.9281272466281902,0.7368421052631579,0.5625,0.6379746835443038
0.6,0.8372726643548383,0.9271939975370334,0.7439024390243902,0.5446428571428571,0.6288659793814433
